Vin_V;Fsw_kHz;Vout_mean_V;Vout_max_steady_V;Vout_min_steady_V;Ripple_percent;Overshoot_percent;Static_error_V;Static_error_percent
262.5;170.0;27.974594116210938;28.260072708129883;27.716493606567383;1.943117022514344;54.81232452392578;0.0254058837890625;0.0907353013753891
262.5;180.0;27.137094497680664;27.36247634887696;26.86890983581543;1.8187891244888303;66.90644073486328;0.8629055023193359;3.081805467605591
262.5;205.0;25.17041015625;25.38225746154785;24.87696075439453;2.007502794265747;51.19943618774414;2.82958984375;10.105677604675291
272.5;155.0;30.70110893249512;31.141714096069336;30.441530227661133;2.280646800994873;53.27020263671875;2.701108932495117;9.646817207336426
272.5;164.0;29.68721580505371;30.026979446411133;29.412185668945312;2.07090425491333;52.67878723144531;1.687215805053711;6.025770664215088
272.5;195.0;26.968738555908203;27.17951774597168;26.65509414672852;1.9445611238479608;70.95516967773438;1.0312614440917969;3.6830763816833496
272.5;170.0;29.075319290161133;29.37334251403809;28.814054489135746;1.9235835075378416;61.32665252685547;1.0753192901611328;3.840425968170166
272.5;180.0;28.21494102478028;28.43556785583496;27.932937622070312;1.781432867050171;73.33760833740234;0.2149410247802734;0.7676464915275574
272.5;205.0;26.16907119750977;26.42037010192871;25.84322166442871;2.2054600715637207;57.178836822509766;1.8309288024902344;6.539031028747559
292.0;164.0;31.86997985839844;32.25532531738281;31.575220108032227;2.1339995861053467;64.2269287109375;3.8699798583984375;13.821355819702148
292.0;195.0;28.96123313903809;29.168344497680664;28.63807487487793;1.8309636116027832;83.72643280029297;0.961233139038086;3.4329752922058105
292.0;170.0;31.21405601501465;31.54380989074707;30.926820755004883;1.9766387939453125;72.65182495117188;3.2140560150146484;11.478771209716797
292.0;180.0;30.29855155944824;30.54528045654297;29.990005493164062;1.832678198814392;86.3788070678711;2.298551559448242;8.209113121032715
292.0;205.0;28.12226676940918;28.38266563415528;27.77965545654297;2.144244432449341;69.14682006835938;0.1222667694091796;0.4366670250892639
248.0;160.0;27.32486724853516;27.67318153381348;27.084077835083008;2.155925035476685;33.47752380371094;0.6751327514648438;2.4111883640289307
248.0;196.0;24.383464813232425;24.566410064697266;24.123798370361328;1.8152124881744385;54.397403717041016;3.616535186767578;12.916196823120115
248.0;197.0;24.319080352783203;24.50875473022461;24.04152107238769;1.921263694763184;53.47967147827149;3.680919647216797;13.146141052246094
248.0;181.0;25.52101325988769;25.73287773132324;25.247541427612305;1.901712417602539;57.39037322998047;2.4789867401123047;8.853524208068848
248.0;182.0;25.437725067138672;25.63359260559082;25.182350158691406;1.773910403251648;57.98684310913086;2.562274932861328;9.150981903076172
248.0;211.0;23.321582794189453;23.53024101257324;23.04177665710449;2.094473600387573;31.41464614868164;4.678417205810547;16.708633422851562
258.0;160.0;28.461456298828125;28.84133720397949;28.20409393310547;2.238969326019287;39.1571044921875;0.461456298828125;1.6480581760406494
258.0;196.0;25.404705047607425;25.62412071228028;25.099740982055664;2.0641047954559326;60.79400253295898;2.595294952392578;9.26891040802002
258.0;197.0;25.340749740600582;25.564441680908203;25.02644920349121;2.123033046722412;59.847312927246094;2.659250259399414;9.497322082519531
258.0;181.0;26.582632064819336;26.81238555908203;26.292892456054688;1.9542577266693115;64.02303314208984;1.417367935180664;5.062028408050537
258.0;182.0;26.50006675720215;26.72443389892578;26.21841049194336;1.909517526626587;64.29039764404297;1.4999332427978516;5.35690450668335
258.0;211.0;24.294925689697266;24.48891258239746;24.01669692993164;1.943680047988892;36.70212936401367;3.7050743103027344;13.23240852355957
288.0;160.0;31.88115692138672;32.30179214477539;31.58254814147949;2.2560160160064697;54.64213562011719;3.881156921386719;13.86127471923828
288.0;196.0;28.469051361083984;28.7006778717041;28.15971565246582;1.9001765251159668;80.02549743652344;0.4690513610839844;1.6751835346221924
288.0;197.0;28.40727806091309;28.625619888305664;28.08589553833008;1.8999509811401367;79.15663146972656;0.4072780609130859;1.4545644521713257
288.0;181.0;29.779624938964844;30.04085350036621;29.463258743286133;1.9395636320114136;83.79601287841797;1.7796249389648438;6.355803489685059
288.0;182.0;29.68320846557617;29.917028427124023;29.384944915771484;1.792540431022644;83.89527130126953;1.683208465576172;6.011458873748779
288.0;211.0;27.2277946472168;27.461885452270508;26.907638549804688;2.0355923175811768;53.53255844116211;0.7722053527832031;2.75787615776062
